impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
quadratic_oracle,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,12.7423,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.6129,2048,1024,0,0,1024
binomial_queue,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,2.054,2048,1024,0,0,1024
linear_base,batch_then_drain,batch_then_drain_N_1024_S_23.trace,1024,23,0.059,2048,1024,0,0,1024
binary_heap,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,0.0001,0,0,0,0,0
binomial_queue,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,0.0001,0,0,0,0,0
linear_base,batch_then_drain,batch_then_drain_N_1048576_S_23.trace,1048576,23,0.0001,0,0,0,0,0
binary_heap,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,0.0005,2,2,0,0,0
binomial_queue,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,0.0006,2,2,0,0,0
linear_base,batch_then_drain,batch_then_drain_N_131072_S_23.trace,131072,23,0.0003,2,2,0,0,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.004,26,13,0,0,13
binary_heap,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0029,26,13,0,0,13
binomial_queue,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0147,26,13,0,0,13
linear_base,batch_then_drain,batch_then_drain_N_13_S_23.trace,13,23,0.0013,26,13,0,0,13
quadratic_oracle,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,4140.47,32768,16384,0,0,16384
binary_heap,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,14.1306,32768,16384,0,0,16384
binomial_queue,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,48.567,32768,16384,0,0,16384
linear_base,batch_then_drain,batch_then_drain_N_16384_S_23.trace,16384,23,1.1914,32768,16384,0,0,16384
quadratic_oracle,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,97.7628,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,1.2575,4096,2048,0,0,2048
binomial_queue,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,4.2142,4096,2048,0,0,2048
linear_base,batch_then_drain,batch_then_drain_N_2048_S_23.trace,2048,23,0.1003,4096,2048,0,0,2048
binary_heap,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,0.0001,0,0,0,0,0
binomial_queue,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,0.0001,0,0,0,0,0
linear_base,batch_then_drain,batch_then_drain_N_262144_S_23.trace,262144,23,0.0002,0,0,0,0,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,17902.6,65536,32768,0,0,32768
binary_heap,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,58.43,65536,32768,0,0,32768
binomial_queue,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,158.533,65536,32768,0,0,32768
linear_base,batch_then_drain,batch_then_drain_N_32768_S_23.trace,32768,23,3.9596,65536,32768,0,0,32768
quadratic_oracle,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,273.957,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,2.6836,8192,4096,0,0,4096
binomial_queue,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,8.8056,8192,4096,0,0,4096
linear_base,batch_then_drain,batch_then_drain_N_4096_S_23.trace,4096,23,0.2172,8192,4096,0,0,4096
binary_heap,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,0.0001,0,0,0,0,0
binomial_queue,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,0,0,0,0,0,0
linear_base,batch_then_drain,batch_then_drain_N_524288_S_23.trace,524288,23,0.0001,0,0,0,0,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,0.0002,2,2,0,0,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,0.001,2,2,0,0,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_23.trace,65536,23,0.0002,2,2,0,0,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,1199.47,16384,8192,0,0,8192
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,12.1274,16384,8192,0,0,8192
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,39.5971,16384,8192,0,0,8192
linear_base,batch_then_drain,batch_then_drain_N_8192_S_23.trace,8192,23,0.4048,16384,8192,0,0,8192